omega,ReU2.4,-ImU2.4,ReU3.5,-ImU3.5
-4.0,-0.3947154961777328,0.006899724777564827,-0.8077401386527564,0.0038186634224278444
-3.991991991991992,-0.39634490547851325,0.006942891901444067,-0.8098876524248919,0.003940815578189345
-3.983983983983984,-0.39795626987503124,0.007292767685833725,-0.811943320911324,0.00417858840571874
-3.975975975975976,-0.399422109993904,0.007915815223264223,-0.8138676780173856,0.004476921631334208
-3.967967967967968,-0.40063908100704165,0.008727139997238847,-0.8156481204807446,0.0047697683890458925
-3.95995995995996,-0.40154794538976657,0.009604530295396622,-0.8173007254520562,0.004992349826688501
-3.951951951951952,-0.402146219411747,0.010410044169080342,-0.8188667491197609,0.005092906482815959
-3.943943943943944,-0.40249065502761283,0.011015557297469286,-0.820404567913532,0.005041712230807568
-3.935935935935936,-0.40268843571236973,0.011327559203928137,-0.8219787569175672,0.004835682700731591
-3.9279279279279278,-0.4028781915584693,0.01130621859230061,-0.8236485658361203,0.0044978791589893215
-3.91991991991992,-0.4032041829846798,0.010974593961648108,-0.8254580671294296,0.004072338162297153
-3.911911911911912,-0.4037886420986057,0.010415770559259649,-0.8274297032465813,0.0036156211303658976
-3.903903903903904,-0.40470779694124387,0.009758216583624186,-0.8295620396410235,0.0031869990672234003
-3.895895895895896,-0.40597637751172655,0.009152110241211646,-0.8318315540390477,0.0028391588495808137
-3.8878878878878878,-0.4075436513966305,0.008741178787906454,-0.8341975647889233,0.002610843980598926
-3.87987987987988,-0.4093017631680738,0.008635362005673422,-0.8366090827121389,0.0025221793247009296
-3.8718718718718717,-0.4111048904277932,0.008889348849400562,-0.8390124247122621,0.0025728471472670636
-3.863863863863864,-0.412795862138349,0.009490948842931224,-0.8413586692521282,0.002742937644252536
-3.855855855855856,-0.4142355987263246,0.010361614890222486,-0.8436102540926217,0.002996176472234927
-3.8478478478478477,-0.41533011165612094,0.01136943987574704,-0.8457461024295638,0.0032851909892442866
-3.83983983983984,-0.41604993682703967,0.012352778397295459,-0.8477646525005416,0.003558355227424261
-3.8318318318318316,-0.4164378951912413,0.013150544744694664,-0.8496842056630479,0.0037674863775971536
-3.823823823823824,-0.41660301726796967,0.013633608195455523,-0.8515402494476021,0.0038753330211942936
-3.815815815815816,-0.4167011321484973,0.013731035566350996,-0.8533798996934326,0.0038615801952490317
-3.8078078078078077,-0.4169054824345359,0.013445592895321861,-0.8552542319966406,0.0037261764089959247
-3.7997997997998,-0.4173730501794637,0.01285494170404727,-0.8572098211470877,0.003489226818110103
-3.7917917917917916,-0.418213388319131,0.012097931364886402,-0.8592810609773067,0.00318739734069343
-3.7837837837837838,-0.4194663118701434,0.011348545019369435,-0.8614846885070713,0.0028675181401702477
-3.775775775775776,-0.42109295609719105,0.01078259897045489,-0.8638174383351634,0.002578626454621393
-3.7677677677677677,-0.4229819881251024,0.010543666223641284,-0.8662570853660407,0.0023639040598852005
-3.75975975975976,-0.4249698392800577,0.010714728886649205,-0.8687665073402265,0.0022538426471579837
-3.7517517517517516,-0.42687127339252084,0.011300932876029868,-0.8712999578493279,0.0022616259726470672
-3.7437437437437437,-0.4285147634634909,0.01222684595981264,-0.8738105169506638,0.0023812993851442077
-3.735735735735736,-0.42977618525350636,0.013349123077439521,-0.8762576233675716,0.002588904658890646
-3.7277277277277276,-0.4306043688442027,0.014482741008021856,-0.8786136160324186,0.002846407664709489
-3.71971971971972,-0.43103319262342316,0.015436310078705906,-0.8808682989432941,0.003107902979823846
-3.7117117117117115,-0.43117718117680587,0.01604987486361044,-0.883030732258253,0.0033272227561256195
-3.7037037037037037,-0.43121074287402567,0.016227643560015163,-0.8851278059529157,0.0034657545078792527
-3.695695695695696,-0.4313346620885528,0.015958689245249034,-0.8871996825818974,0.00349909777308789
-3.6876876876876876,-0.43173639272287495,0.015320924157291574,-0.8892928183458505,0.003421284396069169
-3.67967967967968,-0.43255225784656404,0.014467123693243713,-0.8914518182120109,0.003245700819690187
-3.6716716716716715,-0.43383937834646913,0.013595613334522501,-0.8937116690640431,0.0030025110393971134
-3.6636636636636637,-0.43556311623419813,0.012911457449935484,-0.8960918177338487,0.0027331073715801306
-3.655655655655656,-0.43760260206474916,0.012585868370793802,-0.8985931408931468,0.002482702949421523
-3.6476476476476476,-0.439773325847337,0.012721797121464233,-0.9011982313819371,0.0022924748850523015
-3.6396396396396398,-0.4418625412571225,0.01333240796353811,-0.9038747884252494,0.0021926369111485034
